group,SubID,LR,Outcome_Sens,Response_cons,Loss_Aver
young,1,0.159010796,0.487521922,0.686815189,0.954497549
young,2,0.064666165,0.511008095,1.391789816,0.295529472
young,3,0.11308913,0.465140901,0.918733815,0.533232105
young,4,0.089273231,0.500390783,0.703737331,0.869858845
young,5,0.233898072,0.488052514,0.897867394,0.511095478
young,6,0.123883351,0.524882891,0.660850126,0.878323701
young,7,0.074704816,0.464685928,0.840672443,0.660664937
young,8,0.07261027,0.480163032,0.70406014,1.033262784
young,9,0.050109444,0.611020598,1.389421967,2.280694779
young,10,0.064824456,0.462609772,1.617839171,2.242473801
young,11,0.290922779,0.389042396,0.759622783,0.688409993
young,12,0.027724711,0.560787043,0.64270577,0.632098391
young,13,0.491557362,0.353756769,0.950440996,0.317150949
young,14,0.128496648,0.575248699,0.697637706,1.440693453
young,15,0.098691848,0.52130933,0.713638399,1.040784709
young,16,0.276443357,0.721504046,0.705300152,2.992312724
young,17,0.055490606,0.397892677,1.043594514,0.626529059
young,18,0.152417238,0.490960819,0.639216979,0.642911388
young,19,0.085383998,0.629621408,0.830874944,1.324310722
young,20,0.073784782,0.557165701,0.619749984,0.832667014
young,21,0.086026198,0.469198495,0.730751326,0.825967671
young,22,0.17946624,0.867512349,1.050428468,0.111947731
young,23,0.465942609,0.333873276,1.000303447,1.241079399
young,24,0.068150365,0.492394835,0.69425759,0.804525903
young,25,0.080764497,0.524808609,0.644496956,0.790397102
young,26,0.162130152,0.581449702,0.637268988,1.325712627
young,27,0.459742215,0.363390505,1.086632753,0.773063889
young,28,0.170024222,0.770361127,0.954201188,1.565371549
young,29,0.257245177,0.490751191,0.832025829,1.241860911
young,30,0.160880951,0.429948051,0.798523229,0.743113249
young,31,0.079612029,0.517136036,0.94558296,0.406990019
young,32,0.097686926,0.424350286,0.932663346,0.658598874
young,33,0.20878248,0.313272168,1.738086353,0.661345793
young,34,0.305387235,0.615651337,0.919501179,1.232972073
young,35,0.202436351,0.437312736,0.796368529,0.557805226
young,36,0.07529021,0.863010976,2.19565978,0.866633688
young,37,0.127391068,0.60811631,1.082869333,1.32370175
young,38,0.148730815,0.342941636,1.17026453,1.579250443
young,39,0.087960309,0.516519618,0.718068829,1.005906548
young,40,0.04925282,0.501159632,0.67447563,0.835300632
young,41,0.059978535,0.518996197,0.661298377,0.84679533
young,42,0.197211418,0.480543089,0.668726525,0.749209165
young,43,0.034750138,0.53617785,0.793607829,1.129398419
young,44,0.203754646,0.521213406,1.284732058,1.040889073
young,45,0.158903319,0.730747298,1.216959802,1.30482759
young,46,0.024037689,0.690974553,2.449046963,0.977543221
young,47,0.416261825,0.73540979,1.026871438,0.123624222
young,48,0.046677161,0.542023791,0.643216209,0.764641581
young,49,0.111488844,0.51086477,0.656368783,0.715916531
young,50,0.061625921,0.470849292,0.819819379,0.814156934
young,51,0.09364946,0.563593241,2.106044601,1.509996472
young,52,0.168131837,0.407367072,0.912671749,0.906909771
young,53,0.15598849,0.374121755,0.969626577,0.577565965
young,54,0.064801666,0.520922957,0.694389522,0.606312848
young,55,0.618180927,0.31663611,0.840924789,0.915007432
young,56,0.081400426,0.662523254,0.676041352,0.753399068
young,57,0.067378211,0.5231315,0.692293061,0.579224929
young,58,0.166247982,0.637130804,0.846988319,0.766319896
young,59,0.128780376,0.47662684,0.724674895,0.875552444
young,60,0.077837025,0.510761683,0.752618617,0.411136713
young,61,0.664964585,0.440735125,1.028725081,1.689488252
young,62,0.177168099,0.401523143,1.230450188,0.617782806
young,63,0.265260825,0.648581174,1.552498557,0.547573504
young,64,0.227993932,0.512110206,1.161897568,1.152094985
